"product","country","year","month","value"
"vegetables, prepared or preserved","European Union-28 3/","2018","april",88.013
"vegetables, prepared or preserved","China","2018","april",38.172
"vegetables, prepared or preserved","Mexico","2018","april",43.023
"vegetables, prepared or preserved","Canada","2018","april",33.104
"vegetables, prepared or preserved","Peru","2018","april",12.833
"vegetables, prepared or preserved","Thailand","2018","april",14.499
"vegetables, prepared or preserved","India","2018","april",10.812
"vegetables, prepared or preserved","Turkey","2018","april",6.837
"vegetables, prepared or preserved","Japan","2018","april",3.557
"vegetables, prepared or preserved","Chile","2018","april",2.707
"vegetables, prepared or preserved","World","2018","april",289.042
"vegetables, prepared or preserved","European Union-28 3/","2018","may",88.273
"vegetables, prepared or preserved","China","2018","may",42.48
"vegetables, prepared or preserved","Mexico","2018","may",41.244
"vegetables, prepared or preserved","Canada","2018","may",32.929
"vegetables, prepared or preserved","Peru","2018","may",14.748
"vegetables, prepared or preserved","Thailand","2018","may",14.848
"vegetables, prepared or preserved","India","2018","may",8.873
"vegetables, prepared or preserved","Turkey","2018","may",7.567
"vegetables, prepared or preserved","Japan","2018","may",4.01
"vegetables, prepared or preserved","Chile","2018","may",5.137
"vegetables, prepared or preserved","World","2018","may",297.497
"vegetables, prepared or preserved","European Union-28 3/","2018","june",92.763
"vegetables, prepared or preserved","China","2018","june",42.896
"vegetables, prepared or preserved","Mexico","2018","june",39.694
"vegetables, prepared or preserved","Canada","2018","june",32.839
"vegetables, prepared or preserved","Peru","2018","june",13.796
"vegetables, prepared or preserved","Thailand","2018","june",14.676
"vegetables, prepared or preserved","India","2018","june",6.313
"vegetables, prepared or preserved","Turkey","2018","june",6.463
"vegetables, prepared or preserved","Japan","2018","june",4.426
"vegetables, prepared or preserved","Chile","2018","june",5.604
"vegetables, prepared or preserved","World","2018","june",294.121
"vegetables, prepared or preserved","European Union-28 3/","2018","july",94.886
"vegetables, prepared or preserved","China","2018","july",36.371
"vegetables, prepared or preserved","Mexico","2018","july",41.823
"vegetables, prepared or preserved","Canada","2018","july",33.014
"vegetables, prepared or preserved","Peru","2018","july",14.74
"vegetables, prepared or preserved","Thailand","2018","july",12.463
"vegetables, prepared or preserved","India","2018","july",7.035
"vegetables, prepared or preserved","Turkey","2018","july",7.952
"vegetables, prepared or preserved","Chile","2018","july",6.072
"vegetables, prepared or preserved","Japan","2018","july",3.888
"vegetables, prepared or preserved","World","2018","july",293.612
"vegetables, prepared or preserved","European Union-28 3/","2018","august",88.83
"vegetables, prepared or preserved","Mexico","2018","august",46.675
"vegetables, prepared or preserved","China","2018","august",33.616
"vegetables, prepared or preserved","Canada","2018","august",30.25
"vegetables, prepared or preserved","Peru","2018","august",14.608
"vegetables, prepared or preserved","Thailand","2018","august",11.757
"vegetables, prepared or preserved","India","2018","august",9.796
"vegetables, prepared or preserved","Turkey","2018","august",6.663
"vegetables, prepared or preserved","Chile","2018","august",4.317
"vegetables, prepared or preserved","Japan","2018","august",3.643
"vegetables, prepared or preserved","World","2018","august",288.222
"vegetables, prepared or preserved","European Union-28 3/","2018","september",74.881
"vegetables, prepared or preserved","Mexico","2018","september",39.889
"vegetables, prepared or preserved","China","2018","september",36.758
"vegetables, prepared or preserved","Canada","2018","september",34.453
"vegetables, prepared or preserved","Peru","2018","september",15.266
"vegetables, prepared or preserved","Thailand","2018","september",11.578
"vegetables, prepared or preserved","India","2018","september",9.032
"vegetables, prepared or preserved","Turkey","2018","september",5.075
"vegetables, prepared or preserved","Chile","2018","september",6.202
"vegetables, prepared or preserved","Japan","2018","september",4.181
"vegetables, prepared or preserved","World","2018","september",268.411
"vegetables, prepared or preserved","European Union-28 3/","2018","october",93.831
"vegetables, prepared or preserved","Mexico","2018","october",44.134
"vegetables, prepared or preserved","China","2018","october",35.873
"vegetables, prepared or preserved","Canada","2018","october",38.987
"vegetables, prepared or preserved","Peru","2018","october",21.648
"vegetables, prepared or preserved","Thailand","2018","october",12.973
"vegetables, prepared or preserved","India","2018","october",11.935
"vegetables, prepared or preserved","Turkey","2018","october",7.829
"vegetables, prepared or preserved","Chile","2018","october",2.409
"vegetables, prepared or preserved","Japan","2018","october",3.605
"vegetables, prepared or preserved","World","2018","october",309.214
"vegetables, prepared or preserved","European Union-28 3/","2018","november",83.068
"vegetables, prepared or preserved","Mexico","2018","november",38.084
"vegetables, prepared or preserved","China","2018","november",39.831
"vegetables, prepared or preserved","Canada","2018","november",36.295
"vegetables, prepared or preserved","Peru","2018","november",20.064
